Codigo,Descripcion,presentacion,Rubro,Observaciones,Numero_Ingredientes,Cancer.Risk,Development.Risk,Allergies.Risk,Endocryne.Risk,Prohibited.Risk,Env.Risk,Total.Risk,HPC.score,norm.Cancer.Risk,norm.Development.Risk,norm.Allergies.Risk,norm.Endocryne.Risk,norm.Prohibited.Risk,norm.Env.Risk,norm.Total.Risk,norm.HPC.score,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62
37,UV Defender Hidratación Intensa FPS 50+,40gr,Cuidado Personal;Cuidado Facial;Protectores Solares,rayos UVB/UVA,30,7.13333333333333,4.5,14.8033333333333,2.33333333333333,10,13.0333333333333,45.3833333333333,45.3833333333333,2.64494382022471,3.64285714285714,3.49611302453082,1.78070175438596,3.19695528068507,3.09922151450813,3.46445529932977,3.46445529932977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ISDIN Foto Ultra Age Repair Fusion Water SPF 50,50ml,Cuidado Personal;Cuidado Facial;Protectores Solares,,41,8.48780487804878,5.51219512195122,16.8292682926829,1.80487804878049,16.3658536585366,19.6829268292683,61.0439024390244,61.0439024390244,3.14716360646752,4.46225319396051,3.97457942387113,1.37740693196406,5.23209022765776,4.68044119931645,4.65994575020157,4.65994575020157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,ISDIN Fotoprotector Fusion Water Urban SPF 30,50ml,Cuidado Personal;Cuidado Facial;Protectores Solares,,29,7.93103448275862,5.41379310344828,13.4655172413793,1.79310344827586,11.6551724137931,14.8275862068966,47.948275862069,47.948275862069,2.9407206509105,4.38259441707718,3.18016011323782,1.36842105263158,3.72610649955708,3.52588037191596,3.6602568873464,3.6602568873464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7796045102320,Rayito de Sol FPS 15,200 gr,Cuidado Personal;Cuidado Corporal;Protectores Solares,Oil Free Paraben Free Cruelty Free,25,4.6,3.72,15.22,2.4,10.56,7.68,40.04,40.04,1.70561797752809,3.01142857142857,3.59451746678851,1.83157894736842,3.37598477640343,1.82624203821656,3.05655799159377,3.05655799159377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7796045108131,Rayito de Sol FPS 50 Kids Spray Solar,250ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,"Sin parabenos, Hipoalergénico, Resistente al agua, Biodegradable, CrueltyFree",16,13.6875,3.6875,11.5625,3.4375,13.1875,5.5,38.74375,38.74375,5.0751404494382,2.98511904761905,2.7307232726506,2.6233552631579,4.21598477640344,1.30785562632696,2.95760536180847,2.95760536180847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3760211481438,Crema protectora Niños SPF50+ Alga Maris,100ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,,23,5.73913043478261,1.95652173913043,3.95652173913043,0,4.8695652173913,3.08695652173913,14.4434782608696,14.4434782608696,2.12799218368344,1.58385093167702,0.934414356046831,0,1.55677822363795,0.73405335548786,1.10258064197482,1.10258064197482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3760211482015,Protector Solar en Spray cara & cuerpo SPF 30 Alga Maris,100ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,,19,5.05263157894737,1.63157894736842,4.92105263157895,0,6.21052631578947,1.94736842105263,15.2157894736842,15.2157894736842,1.87344766410408,1.32080200501253,1.16220825487491,0,1.98547749010967,0.463068499273661,1.16153703581913,1.16153703581913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Cetaphil Hidratante Facial Diario FPS 50,50 ml,Cuidado Personal;Cuidado Facial;Hidratantes,Contiene microplásticos,35,10.7142857142857,5.48571428571429,10.1228571428571,5.02857142857143,12.5142857142857,18.9714285714286,53.1942857142857,53.1942857142857,3.97271268057784,4.44081632653062,2.39072186687284,3.83759398496241,4.00076117982874,4.51125265392781,4.06072475292514,4.06072475292514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Medihealth Umbrella Kids FPS 50,120ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,Falta 1 ingrediente no identificado en la foto.,7,4.42857142857143,2.14285714285714,4.28571428571429,2.85714285714286,3,0.857142857142857,13.5857142857143,13.5857142857143,1.64205457463884,1.73469387755102,1.01215997750756,2.18045112781955,0.959086584205521,0.203821656050955,1.03710098829944,1.03710098829944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7896108560330,Cenoura e Bronze FPS50,200ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,,31,11.1290322580645,6,14,6.2258064516129,6.51612903225806,14.1290322580645,47.9838709677419,47.9838709677419,4.12649510692279,4.85714285714286,3.30638925985802,4.75127334465195,2.08317731193027,3.35976987877542,3.66297413271868,3.66297413271868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75047,KONÉ CARE BLOQUEADOR SOLAR FPS 35,110ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,,8,0.5,0.375,0.5,0,0.5,0.375,1.8,1.8,0.185393258426966,0.303571428571429,0.118085330709215,0,0.159847764034253,0.0891719745222928,0.1374077019198,0.1374077019198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8282779402866,Avène Spray SPF +50 Niños,200ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,,30,6.23333333333333,3.93333333333333,7.46666666666667,1.46666666666667,6.06666666666667,13.4333333333333,32.99,32.99,2.31123595505618,3.18412698412698,1.76340760525761,1.11929824561404,1.93948620361561,3.1943382873319,2.51837782574122,2.51837782574122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779407,Fotoprotector ISDIN Fusion Water Color SPF 50,50ml,Cuidado Personal;Cuidado Facial;Protectores Solares,,38,10.5,4.71052631578947,13.8921052631579,1.84210526315789,15.4736842105263,13.1842105263158,50.1526315789474,50.1526315789474,3.89325842696629,3.81328320802005,3.28090768849446,1.40581717451523,4.94686764484952,3.13509889373114,3.82853213916309,3.82853213916309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77950,Dermaglos Solar SPF80 UVA / UVB,90ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,,25,8.48,1.8,9.2,3.96,5.08,8.6,29.488,29.488,3.14426966292134,1.45714285714286,2.17277008504956,3.0221052631579,1.62405328258802,2.04501061571125,2.25104350789504,2.25104350789504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111589,"Coppertone Waterbabies Pure & Simple Protector solar en loción, SPF 50",177ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,BROAD SPECTRUM UVA/UVB PROTECTION DERMATOLOGIST TESTED PEDIATRICIAN TESTED WATER RESISTANT (80 MIN) HYPOALLERGENIC Zinc Oxide 24.08%,24,3.70833333333333,1.58333333333333,4.625,1.33333333333333,2.20833333333333,9,19.1208333333333,19.1208333333333,1.375,1.28174603174603,1.09228930906024,1.01754385964912,0.705994291151285,2.14012738853503,1.4596387595138,1.4596387595138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
