codigo,name,score,norm.HPC.score,diferencia,numero_ingredientes
7798064430224,CREMA PARA MANOS Y CUERPO REGENERACIPON INTENSIVA ORDEÑE EVO (265ml),6.18134,6.64307127332684,-0.4617312733268406,22
7794207084118,MIDERMUS CREMA DE ORDEí‘E NUTRITIVA HUMECTANTE VITAMINA A&E (250gr),4.5834618,5.70545283241079,-1.12199103241079,21
7794207084095,MIDERMUS CREMA DE ORDEí‘E NUTRITIVA HUMECTANTE VITAMINA A&E (150gr),4.5834618,5.70545283241079,-1.12199103241079,21
7798064434284,CREMA PARA MANOS Y CUERPO REGENERACIPON INTENSIVA ORDEÑE EVO (500ml),6.18134,6.64307127332684,-0.4617312733268406,22
7790375004378,BAGOVIT A CUIDADOS COTIDIANOS EFECTO SEDA,5.048273,5.79846307855376,-0.7501900785537599,42
7791520006155,CREMA CORPORAL VERITAS,4.63463,5.73108528574848,-1.0964552857484806,31
7798095410974,KLORANE AMANDE,5.9922,6.78902469622567,-0.79682469622567,23
3474630658448,KÉRASTASE DENSIFIQUE BAIN DENSITÉ,7.637025,7.99793899422918,-0.3609139942291799,26
3337872413902,LIPIKAR GEL-FLUIDE LA ROCHE POSAY,7.277857,7.64361956002951,-0.36576256002951,19
7891150062290,CLEAR SCALPFOODS SHAMPOO ANTICASPA (Detox Diario),5.3022428,6.13252267106348,-0.83027987106348,26
7898587761987,ELVIVE ACONDICIONADOR REPARACIÓN RÁPIDA,5.163834,7.0539266640381495,-1.89009266403815,23
7899026487093,CREMA DE TRATAMIENTO ELVIVE KERA-LISO,4.715146,5.90780434185215,-1.19265834185215,27
4017645008014,Champú Anticaspa Bio Logona,9.445382,9.399271054801059,0.04611094519894188,19
3474636349913,KÉRATASE DISCIPLINE OLEO CURL,1.0,5.91472588623248,-4.91472588623248,32
7794640662553,Sensodyne Pro-Esmalte Blanqueador,5.772645,8.11294311624073,-2.3402981162407306,13
7896015520526,Sensodyne Pro-Esmalte Crema Dental de Uso Diario,6.2096677,8.214509480626539,-2.0048417806265393,15
3014260279165,Oral B Stages Crema Dental Disney Princess,4.610016,7.99740902131668,-3.3873930213166803,14
7793100111563,Colgate Crema Dental Máxima protección anticaries Sabor Original (180 gr),5.797858,8.60263808738665,-2.80478008738665,13
7500435127363,Oral B Kids Crema Dental,1.9150229,7.2281858810257305,-5.31316298102573,19
3499320003223,Cetaphil Emulsión Hidratante,6.403774,7.4467775568595105,-1.0430035568595102,17
91,Cetaphil Crema para manos,7.967764,8.89360360797246,-0.9258396079724607,17
3499320005302,Cetaphil Crema Hidratante 453 ml,5.549115,6.77679307502061,-1.2276780750206102,20
93,Cetaphil Crema Hidratante 250 ml,5.549115,6.77679307502061,-1.2276780750206102,20
94,Cetaphil Loción Ultra Humectante,6.403774,7.4467775568595105,-1.0430035568595102,17
3499320009737,Crema facial hidratante de Noche con Ácido Hialurónico,4.8191323,6.15361767130595,-1.3344853713059504,34
96,Loción facial hidratante de dí­a con Ácido Hialurónico,7.4237614,8.2959604286892,-0.8721990286892005,16
98,NATURAL FRO SHAMPOO SÓLIDO,9.717787,9.823165704863975,-0.10537870486397516,8
101,Cetaphil sun after sun repaire loción liposomal,9.189686,9.259665032325248,-0.06997903232524827,19
104,Cetaphil Espuma de limpieza suave,7.2896805,8.74838063832293,-1.4587001383229294,14
105,Cetaphil exfoliante ultra suave,5.209283,6.76071723000825,-1.5514342300082502,20
3499320005272,Cetaphil loción limpiadora rostro y cuerpo,6.692913,8.52303173948887,-1.8301187394888698,8
107,Cetaphil toallitas de limpieza facial,4.094714,7.159521846661169,-3.0648078466611697,13
8430351066011,Cetaphil limpiador liquido de rostro para piel grasa,1.4321222,5.78533280762752,-4.35321060762752,23
109,Cetaphil barra dermolimpiadora,1.0,5.52411376751855,-4.52411376751855,26
110,Cetaphil AD control hidratante corporal,7.530284,8.15472264750913,-0.6244386475091304,28
8710447437285,DOVE Secretos Hidratantes Ritual Restaurador Loción Corporal Spray,5.973825,6.93755152514427,-0.9637265251442706,28
80466437,DOVE Desodorante Antitranspirante Stick Original,1.0,3.6531327287716504,-2.6531327287716504,26
8712561594424,DOVE Gel de Ducha Hidratación Profunda (750 ml),4.697868,5.57027318986838,-0.8724051898683802,29
8712561838788,DOVE Gel de Ducha Hidratación Profunda (600 ml),4.697868,5.57027318986838,-0.8724051898683802,29
8717163997345,DOVE Desodorante Original sin alcohol anti-transpirante 48h spray,1.4891624,3.7837922506183004,-2.2946298506183003,25
7896015527457,Parodontax Flúor,7.9969788,9.699917559769167,-1.7029387597691672,15
3600542024242,Fructis Fuerza & Brillo Champú Fuerza y Brillo Fortificante,7.256114,7.1205324669026595,0.13558153309734067,33
3600542256742,Fructis Pure Fresh Agua de Coco Acondicionador Pure Fresh Agua de Coco,4.4687133,6.4217060278357,-1.9529927278357002,34
3600542210966,Original Remedies Leche de Almendra Mascarilla Leche de Almendra Nutritiva,8.084919,8.96001648804617,-0.8750974880461708,26
3600542215282,Garnier Garnier BioAgua Micelar con Agua de Flor de Aciano y Cebada Ecológicas,7.8735185,8.33318870134941,-0.45967020134941006,19
3600541361249,Garnier Skin Active Essencials Desmaquillante de Ojos 2 en 1,8.827778,8.84454863973619,-0.016770639736190418,16
4015600948016,Pantene Champú Repara y Protege (360 ml),3.7600327,5.03318219291015,-1.2731494929101501,26
4084500290532,Pantene Champú Cuidado Clásico (360 ml),4.3679976,5.51676834295136,-1.1487707429513598,25
4084500357198,Pantene Champú Cuidado Clásico (700 ml),4.3679976,5.51676834295136,-1.1487707429513598,25
4084500357112,Pantene Champú Repara y Protege (700 ml),3.7600327,5.03318219291015,-1.2731494929101501,26
4084500290600,Pantene Champú Suave y Liso (360 ml),3.6293492,4.93239901071724,-1.3030498107172397,26
