"name","numero_ingredientes","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Dermaglos Solar SPF80 UVA / UVB",25,"77950",8.956522,0.81739134,1.9565217,4.304348,7.260869,5.5217395,3.2910051
"Hawaiian Tropic Kids SPF50 UVA/UVB",37,"7548608975",18.571428,1.0371429,5.628571,4.6857142,16.485716,13.714286,9
"Dermaglos Solar FPS30 UBV/UVA",27,"7793742032615",15.119999,0.17999999,3.48,6.08,9,7.8799996,4.7667933
"Dermaglos Solar FPS20 UBV/UVA",26,"7793742003493",14.458334,0.175,3.5833333,5.916667,7.3750005,7.375,4.4405565
"Lidherma Autobronceante con extracto de nuez y aloe",24,"7798177222570",9.105263,0.26842105,0.8947368,0.10526316,8.105264,4.7894735,9
"ANTHELIOS XL PROTECT PROTETOR SOLAR FLUIDO FPS70 120ML",28,"7899706134231",12.857692,0.79615384,5.769231,1.6923077,12.615385,9.346154,4.919473
"Dermaglós protector solar FPS40 efecto seco",22,"77958",9.625001,0.080000006,3.3500001,4.7000003,6.55,6.3999996,4.14636
"Dermaglós Protecor solar FPS30 efecto seco",22,"77959",9.625001,0.080000006,3.3500001,4.7000003,6.55,6.3999996,4.14636
"La Roche-Posay autobronceante efecto natrual",22,"303760",2.975,0,1.7,0,5.8,3.0500002,5.231339
"La Roche-Posay ANTHELIOS XL GEL-CREMA TOQUE SECO FPS 50+",36,"303761",13.6125,0.79375,5.28125,1.8125,17.75,11.9375,6.912287
"Cepage filtres fluide fps50",39,"77962",13.685714,1.0485715,5.885714,3.257143,16.285715,5.828572,6.210617
"Cepage FILTRES Fluide Color 50+",34,"77963",14.862069,1.2103449,3.7931032,4,18.413794,3.2758622,6.1517053
"Chamaleon Protetor Solar Mineral Vegano em Bastão FPS 50",7,"78964",0.33333334,0,0,0,0.6666667,0,0.13503858
"ACF protector solar dadatina",41,"77965",12.696969,1.1090909,6.242424,2,21.484848,6.3636365,6.738016
"ISDIN FUSIÓN WATER",28,"77966",11.538462,0.50384617,3.6153846,1.8461539,14.730769,13.307693,6.149968
"NATURA Loción Protectora Spray FPS 30",34,"77967",13.52,0.772,3.52,6.8399997,10.28,4.7200003,5.3545494
"NATURAL FRO PROTECTOR SOLAR FPS 30",5,"77968",0,0,0,0,0,0,0
"Eucerin Sun Gel-Crema Oil Control Toque Seco FPS 50+",30,"77970",7.038461,0.53846157,3.8846154,3.5384614,8.269231,6.846154,4.0667386
"DERMAGLOS PROTECTOR SOLAR con FPS 50",24,"77971",13.454545,0.64090914,5.0454545,4.545455,8.045454,8.318182,5.408295
"LA ROCHE POSAY HYDRAPHASE INTENSE UV LIGERA",33,"77972",13.209678,0.3677419,4.483871,1.7419355,10.451612,12.806451,5.8149347
"Natura Gel Crema Protector Facial FPS 50",44,"77973",19.904762,1.6952381,7.5714293,6.5952377,20.785715,10.095238,9
"Dermaglos protector solar 50fps crema con color tono medio",27,"77974",12.386363,0.4909091,3.3636365,3.9090908,4.9090915,6.772727,4.2985234
"Isdin Fotoprotector gel cream dry touch SPF 50+",34,"77975",10.125,1.109375,6.25,3.6875,16.34375,7.96875,7.258744
"Savia tierra protector facial fps 60 sin color",22,"77976",7.4444447,0.37777779,1.8888888,1.5555556,11.166666,1.7777778,3.8637936
"Bagovit solar fps50",36,"7790375268428",17.102942,1.0941176,6,2.8235295,13.67647,11.647058,7.068475
"PROTECTOR SOLAR FACIAL con FPS 50 - Efecto Seco - Sin Color",27,"77978",12.8125,0.42083335,4.0416665,1.4166666,11.583333,3.0833335,5.323578
"Avené FLUIDO ULTRA MAT SPF 50+",33,"3282770104622",10.166667,0.5133333,1.4,0,9.8,7.1666665,4.6354885
"Loreal UV Defender Protector Solar FPS50",46,"779980",18.208109,0.6216216,5.9459457,1.8378378,11.135135,13,8.098857
"Eximia SOLAIRE EXTRÊME FLUIDE COLOR",35,"779981",14.666667,1.2,3.766667,4,18.966667,3.2333336,5.2342606
"Caviahue protector solar FPS 50+",33,"7798120266194",17.285713,1.0857143,6.107143,3.2142856,13.25,9.392858,5.7484417
"Caviahue spray solar fps 50",13,"7798120266170",10.65,0.37,4.1,1.4,8.7,8,3.7937918
"Caviahue PROTECTOR SOLAR FPS 70+",24,"779984",10.150001,0.9699999,5.45,1.8,9.85,5.25,3.8223426
"Eucerin Sun Face Oil Control FPS30",31,"779985",6.333334,0.51111114,3.8518517,3.4074073,10.481482,7.2962966,5.08789
"Villaneuve protector solar en crema FPS 25",27,"779988",8.714286,0.85238093,2.4285715,3.0476193,6.571429,4.3333335,2.9632711
