"name","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Azaphran polvo matificante de piel porcelana","750805",2.2,0,0.4,0,0.4,0.4,9.32
"Dermaglós Emulsión corporal regeneración intensiva","779633",5.2083335,0.0375,0.875,2.125,5.416667,4.041667,9.262326
"WELEDA ACEITE DE MASAJE ANTIESTRIAS","4001638095112",12.363637,0,0,0,2.1818182,3.4545455,8.363636
"La Roche-Posay Anthelios Gel Crema Autobronceador","3433422406629",2.8333333,0,2.6190476,0,7.52381,2.9047618,9.243764
"Cocoa Beach Aceite Bronceador","7791274190216",5.75,0.15,1,5,1.4,4.6,8.21
"Crema Exfoliante Natural Fro","779578",0.85714287,0.4,0,0,0,0,9.820408
"Loción Corporal Frutilla Super Good","780592",2.3500001,0.030000001,0,0,1.6,2.25,9.6885
"NIVEA Crema Corporal Hidratación express","4005808352630",4.8076925,0,0.53846157,0,3.769231,2.5384614,9.10355
"Hinds Crema Corporal","77944640171222",13.727274,0.2090909,0.8181819,3.7272725,1.8636364,7.5,8.734298
"Veganis leche ultra reafirmante para la piel coffee berry, nectarine & extracto orgánico de oliva","7798216220062",23.557693,0.3846154,1.5384616,0,13.769231,6.807692,8.22855
"Hinds Crema Corporal hidratación extrema con extracto de almendras","7794640610998",15.232143,0.60714287,1.7857144,2.5357141,6,8.964285,8.745536
"NIVEA MEN CREME","4005900130761",5.071429,0.042857148,0.52380955,0.6666667,4.1904764,2,9.404988
"Frenzzi NATURALE crema corporal coco cebolla y ginseng","7795513060452",11.474999,0,0,0,5.95,5.25,8.86625
"Dove Nourishing Body Care","7501056346140",4.526666,0,0.73333335,0.8,1.8666668,5.2000003,9.124888
"dermaglós crema corporal hidratación profunda","779634",3.681818,0,0.72727275,1.3636364,3.6363635,3.5909092,9.409091
"Guiv crema corporal cacao","781547",5.02381,0.05714286,0,0.1904762,4.095238,3.9047623,9.368027
"La Roche-Posay Posthelios Gel fundente","3037664",6.00625,0,0,0,2.5625,2.0625,9.3355465
"Trébol cosmética natural emulgel firmeza con jengibre","779671",0,0,0,0,0,0,NaN
"Las Rishis crema con Vitamina A y E antiestrías","779677",1.3857143,0,0.71428573,0,1.5,0.5,9.707143
"Las Rishis Bálsamo","779678",0,0,0,0,0,0,10
"Las Richis Crema corporal Dube","779681",0,0,0,0,0.6,0,9.88
"AHAL SUERO CORPORAL CON ACEITE DE MONGONGO","750689",0,0,0,0,0,0,10
"AHAL BÁLSAMO M CORPORAL","750670",0,0,0,0,0,0,10
"AHAL JABÓN FACIAL DE LECHE DE CABRA","750671",0,0,0,0,0,0,NaN
"Cream Pure Urea 10% Deliplus","8480000467713",5,0,0.61904764,0,2.7619047,5,9.362812
"Cream Hidratante Anti-sec Deliplus","8480000468338",5.95,0.26000002,0.8333333,0.3,5.9,5.7333326,9.367444
"AGUA MICELAR BIFASICA L´OREAL PARIS","7509552800098",1.1111112,0.2,2.2222223,2,5.777778,2.1111112,8.508642
"NIVEA Crema Hidratante en Lata","4005800137556",10.595239,0,0,0,3.7619047,4.1904764,9.11678
"Crema corporal St Ives iel renovada","7791293033075",9.318182,0.14545456,1,0.36363637,8.5,5.1363635,8.888017
"Dove Crema nutritiva enriquecida","8901030661860",10.615385,0.17692308,0,2.3076923,7.576923,5.730769,8.98432
"Crema SAPOLAN ferrini Tradicional","7790299000081",2.25,0,0,0,0.33333334,3,9.069445
"Nivea Body Crema Hidratante","4005808041817",4.8076925,0,0.53846157,0,3.769231,2.5384614,9.10355
"ETIQUET CLASICO","7794490630245",13.777778,0.3611111,1.1666666,1.9444444,9.722222,4.333333,8.260802
"NIVEA BODYCELULITIS","4005808881512",9.794118,0.10588236,0.88235295,0.3529412,5.470588,3.8235295,8.79827
"CREMA PARA MANOS Y CUERPO REGENERACIPON INTENSIVA ORDEÑE EVO (265ml)","7798064430224",7.03125,0.075,1.4375,1.5,6.125,3.75,8.755078
"MIDERMUS CREMA DE ORDEí‘E NUTRITIVA HUMECTANTE VITAMINA A&E (250gr)","7794207084118",12.368421,0,0,1.6842105,6.2105265,6.4210525,8.595568
"MIDERMUS CREMA DE ORDEí‘E NUTRITIVA HUMECTANTE VITAMINA A&E (150gr)","7794207084095",12.368421,0,0,1.6842105,6.2105265,6.4210525,8.595568
"CREMA PARA MANOS Y CUERPO REGENERACIPON INTENSIVA ORDEÑE EVO (500ml)","7798064434284",7.03125,0.075,1.4375,1.5,6.125,3.75,8.755078
"BAGOVIT A CUIDADOS COTIDIANOS EFECTO SEDA","7790375004378",12.5875,0.35250002,0.5,1.525,5.1499996,5.05,9.370875
"CREMA CORPORAL VERITAS","7791520006155",16.238096,0.1,0,0.33333334,4.9047623,8,8.59161
"KÉRASTASE DENSIFIQUE BAIN DENSITÉ","3474630658448",5.4999995,0.1173913,0,0,3.5652173,3.1304348,9.46465
"LIPIKAR GEL-FLUIDE LA ROCHE POSAY","3337872413902",1.9615386,0,1.923077,0,4.2307696,4.461539,9.032544
"CREMA DE TRATAMIENTO ELVIVE KERA-LISO","7899026487093",13.442307,0.5692308,0,0.7307692,9.846154,2.423077,8.961095
"Cetaphil Emulsión Hidratante","3499320003223",5.4375,0,0.9375,0,5.125,5.375,8.9453125
"Cetaphil Crema Hidratante 453 ml","3499320005302",6.4736843,0,0.84210527,1.0526316,6.684211,6.0526314,8.889196
"Cetaphil Crema Hidratante 250 ml","93",6.4736843,0,0.84210527,1.0526316,6.684211,6.0526314,8.889196
"Cetaphil Loción Ultra Humectante","94",5.4375,0,0.9375,0,5.125,5.375,8.9453125
"Cetaphil AD control hidratante corporal","110",1.2592593,0.16296296,0,1.6296296,3.851852,5.0000005,9.559122
"Weleda Skin Food Light","4001638501484",3.0000002,0,0,0,1,3.15,9.6425
"Cattier Leche Hidratante Nutritiva","3283950911184",2.2941177,0,0,0,0,3.4117649,9.66436
"Cattier Leche Hidratante Nutritiva","3283950911153",6.7954545,0,0.6818182,0,0.40909094,7.545454,9.298553
"Cattier Manteca Karité Bio","3283950917308",0,0,0,0,0,0,NaN
"Weleda Crema Rostro y Cuerpo de Caléndula","3596206332825",7.0666666,0,0,0,1.4,3.0666668,9.231112
