"name","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"MagicGarden Desodorante en crema","779772",0.42727274,0,0.36363637,0,0.8181819,1,9.76281
"Airandearth desodorante neutralizador de olor","779779",1.5,0,0,0,0,0.25,9.5625
"Green Doctor Care Orange Blossom + coconut Oil","7503020136139",0,0,0,0,0,0.4,9.96
"Botanika desodorante calendula y aloe vera","7798121272514",7.4411764,0.21764706,0,1.5294118,4.7058825,4.7058825,8.905882
"Natura desodorante roll on antitraspirante","779849",3.727273,0,0.6363636,0,3.2727275,2.7272727,9.057851
"Botanika desodorante con pura rosa mosqueta","779891",6.4000006,0,0,0,1.2,3.8000002,8.86
"Nadanaturals desodorante natural","750949",0.08571429,0,0,0,0,1.8571429,9.722449
"Agua calma desodorante en barra cítricos","779988",0.9571429,0,0.85714287,0,0.85714287,1.8571429,9.353062
"Agua calma desodorante en barra lavanda","779989",0.9888889,0,0.8888889,0,0.8888889,1.8888888,9.482716
"Agua calma desodorante en barra tea tree","779990",0.9571429,0,0.85714287,0,0.85714287,1.8571429,9.353062
"Kamikase Desodorante Natural con aloe vera","7791010",1.5600001,0.1,0,0,5.4,1.8666668,9.404889
"Botanika desodorante con puro aloe vera","7791024",6.5,0,0,0,1.4285715,4.142857,8.27551
"Zahal desodorante corporal","7791044",0,0,0,0,0,0,10
"Clinical strenght secret desodorante en barra","7791072",1.5,0.2,0.6666667,2,6.166667,1.3333334,8.0222225
"Las rishis desodorante mimosa","7791077",2,0,0,0,0,0,9.333333
"The mash store desodorante natural sólido lavanda","7791103",0,0,0,0,0,0,10
"The mash store desodorante natural sólido tea tree","7791104",0,0,0,0,0,0,10
"Narayani desodorante en crema lavanda y tea tree","7791106",0.4,0,0.33333334,0,0.33333334,1,9.655556
"Narayani desodorante solido sin bicarbonato citrico","7791107",0.083333336,0,0,0,0,1.3333333,9.763889
"Colibria desodorante solido proteccion extra","7791112",1.2,0,0.71428573,0,0.71428573,2.0000002,9.338776
"Cuidado integral vegano desodorante","7791117",0.75,0,0.75,0,0.75,1.25,9.5625
"Daori Desodorante Lavanda & Salvia en barra","7791165",6.44375,0,0.6875,0,1.0625,5.375,9.151953
"Daori Desodorante Lemongrass & Cedro en barra","7791166",6.8666663,0,0.73333335,0,1.1333334,5.666667,9.04
"NIVEA ANTITRANSPIRANTE DEO MILK BEAUTY ELIXIR SENSITIVE ROLL ON","842870442029",6.283334,0.42,1.3333334,0,4,7.533333,9.347667
"Nivea BLACK & WHITE INVISIBLE TOQUE DE SEDA","822820870028",4.911765,1.564706,0.88235295,0,6.411765,10.588236,8.567128
"Desodorante Nivea Intense Control","800680870025",5.961539,0.36923078,0.84615386,0.61538464,5.769231,5.923077,8.5011835
"Nivea ANTITRANSPIRANTE PROTECT & CARE BARRA","859110870030",7.9523816,0.3,0,0.04761905,2.6190479,4.142857,9.282766
"EXFOLIANTE CORPORAL ROSA Y SAL MARINA ORGANIC SHOP","4744183012653",3.5076923,0,0,0,2,3.7692308,9.28639
"EXFOLIANTE CORPORAL - CAFE DE BRASIL Y AZUCAR - ORGANIC SHOP","4744183012608",3.6000001,0,0,0,2.8000002,2.8000002,9.08
"Gel de ducha Bio de coco y vainilla Sante","4025089075141",5.3722224,0,0,0,1.7777778,2.2222223,9.479321
"Gel de Baño Sin Perfume Urtekram","5765228835852",4.266667,0,0,0,1.2666667,1.6666667,9.52
"Gel de Ducha Relajante Lavande de Provence Organic Shop 280 ml","4744183011533",6.771428,0,0,0,0.9285714,4.8571424,9.103062
"Gel íntimo BIO Anthyllis","8002849917879",1.9000001,0,0,0,0,0.4,9.77
"Gel de ducha bayas nórdicas BIO Urtekram","5765228836682",5.875,0,0,0,0.9166667,3.3333333,9.578125
"Gel de baño delicado aloe vera y aceite de oliva Greenatural","8052400932582",9.335714,0,0,0,2,4.785714,8.84847
"Gel de ducha orgánico Infusión de lavanda afrutada Avril","3662217004874",9.125,0.3,1.875,0,3.6875,5.4375,8.723437
"Gel de ducha relajante Cattier","3283950911917",8.561539,0,0,0,3.5384617,5.615385,8.637278
"Xavo gel de ducha relajante con lavanda","779928",4.736842,0,0,0,1.4736842,4.684211,9.426593
"Xavo gel de ducha refrescante","779932",4.0000005,0,0,0,1.2941177,3.0588236,9.508651
"Xavo gel de ducha relajante con lavanda","C779928",4.0588236,0,0,0,1,4.294118,9.449827
"Xavo gel de ducha refrescante","C779932",4.0000005,0,0,0,1.2941177,3.0588236,9.508651
"Mujeres magicas Baño nutritivo ARCOIRIS","7791148",6.9545455,0.50909096,0,0.45454547,7.9090915,1.909091,8.387604
"Natura Tododia Crema Hidratante Corporal Hojas de Limon y Guanabana","789586",8.5,0.2121212,0.7878788,1.7575758,9.060606,8,9.141873
"Loción corporal aloe y açai Sante","4025089085201",5.5,0,0,0,1.0952382,3.904762,9.5
"Multi Vegetal Loção Hidratante Corporal Natural","789505",0.63,0,0,0,0.95,2.45,9.7985
"LOÇÃO CORPORAL HIDRATANTE MULTI VEGETAL","789508",0.49999997,0,0,0,0.94736844,2.2631578,9.804709
"Koné Care ACEITE CORPORAL - ANTIESTRÍAS","750554",0,0,0,0,0,0,10
"Weleda Skin Food Body Butter","84702",3.0217388,0,0,0,1.347826,2.4782608,9.702269
"Weleda Crema de Caléndula","84703",6.625,0,0,0,1.5,3.375,9.28125
"Manzanilla BB Cream cuerpo","780712",1.6,0,0,0,0,0,9.68
"Savia Tierra Patagonia Crema corporal limón y jengibre","779717",4.827273,0,0,0,1.7272727,3.090909,9.12314
"Savia Tierra crema corporal lavanda y caléndula","779721",3.6600003,0,0,0,2.3333335,2.4666667,9.436
"Xamania Crema Cuerpo Mandarina","750722",0,0,0,0,0,1,9.75
"Xamania Pomada de caléndula","750723",0,0,0,0,0,0,10
"Skin Matters Serum Facial para Piel Grasa","750725",0,0,0,0,0,0.15384616,9.988166
"Ahoaloe Hidratante Corporal Base NEUTRA com Babosa","789727",0.8071429,0,0,0,1.5714287,0.9285714,9.763776
"Guiv Crema para manos Kali","779734",3.9750001,0.105,0,0.2,4.15,5.2499995,9.316
"Guiv Crema corporal CACAO","779735",4.5769234,0.057692308,0,0.1923077,3.8846154,5.4230766,9.456361
"Skin Matters Bálsamo Antiestrías para Mamá","750736",0,0,0,0,0,0.5,9.75
"Bor crema hidratante facial vitaminada","7798368500012",2.96875,0,1.5,0,2.875,0.4375,9.513672
"Aceite corporal anti estrías","750569",0,0,0,0,0,0,10
"Nivea Serum Humectación profunda","779761",9.345454,0.081818186,0,0.09090909,2.0909092,8.5,9.085951
"Dove baby hidratación profunda","8710522420713",9.8529415,0.01764706,0.1764706,0.1764706,3.5294118,10,8.602768
"Majen Bálsamo Humedo Facial","780774",0,0,0,0,0,0.9,9.955
"L´OCCITANE Crema immortelle","779790",3.562857,0.15428571,3.2857146,0,9.514286,2.2285717,9.464408
"Just Malva Loción Cremosa Herbal para piel delicada","77943460",12.905556,0.24814816,1.0555556,1.8148148,6.185185,8.129629,9.438169
"Lux Jabón Lí­quido Rosas Francesas","7791293037660",13.616667,0.7366667,3,1.3666667,8.766666,11.866667,8.688222
"JABON DE TOCADOR DOVE CREMOSO","7898422746759",12.954546,0.21818183,0.77272725,0.36363637,6.954545,5.8636365,8.766942
"JABON DE TOCADOR DOVE NUTRITIVE SECRETS","7891150064980",13.519232,0.40384617,1.9615386,0.9615385,8.576923,5.846154,8.797338
"Jabon Glicerina neutro Estilo Spa","7798096056812",2.6666667,0.28333333,0.8333333,1.5,2.5,1.6666666,8.425
"Jabon Tocador Heno de Pravia ORIGINAL","7790396104095",17.68,0.05,0.3,0.3,0.3,7.7000003,8.6835
"Jabon Tocador Suave pepino & Aloe","7791293038025",10.735295,0.11764707,0.47058824,1.1764706,4.352941,3.7647061,8.787197
"JABON DE GLICERINA VERITAS MENTA Y EUCALIPTO","7791520004151",7.038462,0,0,0,5.3846154,0.9230769,8.973372
"DOVE Gel de Ducha Hidratación Profunda (750 ml)","8712561594424",10.778571,0.22500001,0.60714287,0.82142854,3.2142856,12.892857,8.98074
"DOVE Gel de Ducha Hidratación Profunda (600 ml)","8712561838788",10.778571,0.22500001,0.60714287,0.82142854,3.2142856,12.892857,8.98074
"DOVE Pastilla de jabón original hidratante","8000700000005",5.1923075,0.053846158,0.23076923,0.23076923,2.923077,3.2307692,9.087574
"Weleda Jabón vegetal sólido de Caléndula","4001638098946",10.766666,0,0,0,2,3.6,8.908889
"SANTEG el de ducha Bio de piña y limón","4025089075127",5.3,0,0,0,2.0555556,2.388889,9.458642
"Oma Gertrude Gel ducha relajante todo tipo de pieles","4743318183060",6.2999997,0,0,0,1.1428571,4.714286,9.131633
"Weleda Gel de ducha en crema Rosa Mosqueta","4001638088268",5.735295,0,0,0,1.0588236,4,9.365052
"Weleda Gel de ducha en Crema de Citrus","4001638088275",4.769231,0,0,0,0.6923077,3.2307696,9.331361
"Lactovit Nutritivo Piel Normal Seca","8411135350038",15.564286,0.02857143,2,0.2857143,7.357143,8.964286,8.778571
"Nivea SABONETE NIVEA TOQUE DE BAUNILHA 85G","4005900527073",6.535714,0.30714285,0.5714286,1.2142857,2,3.5000002,8.990816
"SABONETE PROTEX LIMPEZA PROFUNDA ORIGINAL","7891024035047",8.75,0.22500001,0,0,3,5,8.939062
"SABONETE DOVE BABY HIDRATAÇAO SENSIVEL 75G","7891150025998",7.75,0.112500004,0.3125,0.125,5.75,3.25,8.91875
"SABONETE GRANADO ANTISSEPTICO 80G","7896512900166",7.590909,0,1.5454545,1.4545455,2.5454545,4.090909,8.433884
"EFFACLAR CONCENTRADO SABONETE EM BARRA ANTIOLEOSIDADE LA ROCHE 70G","7899706149211",5.714286,0.2,0,0,2.4285715,4.571429,9.077551
"LIPIKAR SURGRAS SABONETE LIQUIDO CONCENTRADO ANTIRRESSECAMENTO LA ROCHE 400ML PUMP","3433422408586",2.575,0,1.8000001,0,1.7,2.95,9.54875
"Jabón Lirio Neutro 150","12388000022",3.3333333,0.13333334,0,0,0,3,7.8444443
"Jabón en Barra Lirio Bath & Spa Aguacate y Aceite de Olivo","12388002842",3.6666667,0,0,0,0,2.6666667,7.888889
"Jabón Lirio Coco Antibacterial","12388002958",3.3333333,0.13333334,0,0,0,3,7.8444443
"Jabón sólido corporal Vainilla y Karité Planeta Huerto","8445303149599",3.7333333,0,0,0,0,4.333333,9.327778
"Jabón pastilla coco puro sin perfume Beltrán Vital","8421427033068",0,0,0,0,0,1,9.75
"Jabón de Alepo 40% Inkanat","8437015175706",0,0,0,0,0,0,10
"Jabón Sin Perfume Urtekram","5765228835845",0,0,0,0,0,0.6,9.88
"Jabón Aloe Vera Urtekram","5765228838648",0.125,0,0,0,0.375,0.875,9.828125
"Jabón de Manos Nutritivo Melocotón Rosa Organic Shop","4744183011656",6.8307695,0,0,0,0.9230769,5.0000005,9.018935
"Jabón de manos Sin Perfume Urtekram","5765228835876",4.214286,0,0,0,1.1428571,1.7142857,9.494898
"Jabón de Alepo Inkanat, 4%","8437015175713",0,0,0,0,0,0.33333334,9.888889
"Jabón de manos neutral Sonett","4007547301948",1,0,0,0,0,1,9
"Aceite de Oliva, Aceite de Coco","4007547301849",1,0,0,0,0,1,9
"Punk Bouquet Body Scrub Bath & Body","524517683001",10.823529,0.047058824,1.8235295,1.7647059,3.117647,6.470588,8.585467
"Protex Jabón Líquido Aloe","7702010420320",9.875,0.075,0.5625,0.5625,2.75,9.6875,8.530469
"Jabón Nivea","4005900620552",7.16875,0.2125,0.625,0.8125,3.4375,4.125,8.9761715
"Jabón Bio de aloe y limón Sante","4025089078937",5.5375,0,0,0,1.5,2.875,9.380468
"Jabón líquido de manos con limón Bio Coslys","3538396516203",6.1999993,0,1.6,0,3.0666666,3.7333333,9.026667
"Jabón de manos Sin Perfume Urtekram","5701058009117",4.214286,0,0,0,1.1428571,1.7142857,9.494898
"Simond's Jabón Líquido Dermo Care Avena","7804945011038",10.117648,0.4941177,0.5294118,2.7647061,4.882353,9.705883,8.323875
"Familand Jabón Castaña","7804945061804",5.71875,0.112500004,0.4375,0.4375,5.3125,6.875,8.81914
"GEL DE DUCHA HIDRATANTE ORGANIC SHOP","779495",6.592308,0,0,0,0.84615386,5.769231,8.984024
"GEL DE DUCHAS VITAMINAS NATURA SIBERICA","779498",8.373684,0.14210527,0,0.94736844,3.4736843,5.631579,9.022715
"Johnsons Nutri Spa Reparadora Amêndoas","891010247409",5.8823533,0.2529412,0.29411766,0.29411766,2.5882351,2.5882351,9.3
"Jabon de Tocador Dove Original","7791293027708",14.3125,0.22083335,0.7916666,0.375,7.958333,6,8.764236
"Lux flor de vainilla jabón con glicerina","7791293037646",11.84,0.060000002,0.6,0.6,6.8799996,5.08,8.997601
"G&H Jabón liquido corporal vegano","779649",13.9761915,0.4857143,0,0,7.095238,5.380953,8.717234
"Al bosque Jabón del río de la plata","779663",0,0,0,0,0,0.4,9.92
"Tessa Jabón facial Detox","780730",1.3333333,0.05,0.5,0.5,0.5,1.0833333,9.669444
"Tessa Jabón de manos","780731",2.569231,0,0,0,1.1538461,2.8923078,9.491124
"La quemisterie Jabón liquido de manos","779733",6,0.17142859,0,0,1.1428572,3.7142859,8.42449
"Koné Jabón en barra extracto de papaya","750567",0,0,0,0,0,0,10
"SENTIDA BOTÁNICA JABÓN VEGETAL LÍNEA ESENCIAL","779909",16.449999,0.020000001,0,0,9.2,6.7000003,8.3815
"Bennie club jabón humectante corporal","779925",5.538462,0,2,0,3.2307694,1.9846154,9.018935
"Xavo jabón liquido mix floral","779929",5.3571434,0,0,0,1.6428571,4.071429,9.209184
"Xavo Jabón liquido mix herbal","779934",4.3076925,0,0,0,1.3846154,3.3846154,9.301775
"Opal jabón","750947",2,0,0,0,3,0,9
"Xavo jabón liquido mix floral","C779929",4.5,0,0,0,1,3.5833335,9.243055
"Xavo Jabón liquido mix herbal","C779934",4.3076925,0,0,0,1.3846154,3.3846154,9.301775
"Agua calma jabón de caléndula","779977",0,0,0,0,0,0.2857143,9.959184
"Agua calma jabón de carbón activado","779979",0.11111111,0,0,0,0.33333334,0.33333334,9.91358
"Jabón liquido íntimo cuidado suave","7791000",4.21875,0,0,0,1,3.75,9.439453
"Jabón Sofi","7791014",0,0,0,0,0.6,0,9.88
"Terra jabón exfoliante","7791055",0,0,0,0,0,0,10
"Dove baby Jabón Líquido corporal Humectación Sensible","7791063",9.342106,0.031578947,0.31578946,0.31578946,5.631579,10.210526,8.639612
"Ocean skin jabon batido cremoso corporal champagne y frutos rojos","7791100",3.875,0,0,0,1.5,1.625,9.125
"Magic Garden jabon semisolido natural lavanda y limon","7791101",2.4736843,0.14736842,0,0,1.0526316,1.4210526,9.731856
"Baby dove jabon en barra humectacion sensible","7791113",7.6111107,0.072222225,0.2777778,0.055555556,6.0555553,2.8333335,9.060802
"Mimo biocosmetica jabon natural vegetal","7791136",0,0,0,0,0,0.25,9.9375
"Aveno jabon corporal humectante","7791137",2.777778,0.06111111,1.1666666,0.16666667,1.1666666,1.7777778,9.6046295
"Mylo Jabon Vegano neutro","7791147",0,0,0,0,0,0.6,9.88
"Farmacity jabon de glicerina neutro","77913104",0.70000005,0.09,0.2,0.6,0.4,0.6,9.741
"Xamania desodorante limón","750724",0,0,0,0,0,0,10
"Koné Crema iluminadora n°1","750568",0.0375,0,0,0,0.75,0.75,9.807813
"Cetaphil sun after sun repaire loción liposomal","101",0.38235295,0,0,0,1.4117647,3.235294,9.704152
"ISDIN Lozione Doposole","8470003173704",10.020833,0.0875,1.5416667,1.7916666,6.0416665,5.541666,8.957292
"Nuxe Aquabella Beauty-Revealing Essence Lozione-Essenza Rivelatrice di Bellezza","3264680014871",8.261111,0,0,0,1.6666667,7.611111,9.025618
"Biotherm Skin Oxygen SPF 15 Crema Corpo","3614272132931",9.881578,0.3868421,0.9736842,0.73684204,9.973684,5.184211,9.285872
"ISDIN MICELLAR SOLUTION","8429420128644",1,0,0,0,0.2857143,0.14285715,9.795918
"Weleda Rosa Mosqueta Aceite Corporal Sedoso","4001638099394",9.75,0,0,0,3.75,2.5,8.666667
"Avéne Agua Termal","3282779003131",0,0,0,0,0,0,10
"Garnier SkinActive Agua Micelar en Aceite/Óleo","3600541744523",10.605264,0.27894738,6.1578946,4.6315794,10.842105,4.368421,8.058725
"Garnier SkinActive Pure Active Agua Micelar Todo en 1","3600541594937",2.4285715,0,0,0,0.5714286,0.2857143,9.530612
"Loción corporal MED sal marina & manzanilla BIO Cosnature","4260370435598",0,0,0,0,0.47058824,0.7058824,9.930796
"Loción Corporal Té Verde Matcha Urtekram 245ml","5701058001326",1.92,0,0,0,1.08,1.3199999,9.8272
"Leche corporal de pachuli y lima Dr. Bronners, 240 ml","18787261101",3.6153846,0,0,0,1.1538461,1.3846154,9.526628
"Hidratante Natural Deo Corporal Amêndoa e Lavanda Boni Natural","789510",7.382353,0,0,0,1.5294118,6.1764708,9.112456
"Vick VapoRub","78911222",0,0,0,0,0,0,NaN
"Pomada MINACORA","789516",0,0,0,0,0,0,NaN
"Garnier skin active agua micelar con rosasalo","779870",2.84375,0,0,0,1.375,1.625,9.634766
"Dermaglos gel post solar","7791002",13.857143,0.47619048,1.7142857,5.2380953,9.095238,5.6666665,8.283447
"TICA emulsión corporal regeneradora","7791004",5.611111,0.044444446,0,0,0.9444444,3.6111112,9.432716
"Mama bruja aceite corporal vainilla","7791049",0,0,0,0,0,0,10
"Isadora bruma cremosa con ceramidas y ácido hialuronico","7791076",10.1,0,0,0,2,4.95,9.1475
"ACF BY DADATINA anti roce stick barra","7798111211455",0,0,0,0,0,0,10
"Vespero exfoliante de pies cansados","7791097",6.4642854,0.11785715,0.85714287,0,2.8928573,4.428571,9.472832
"LIPIKAR GEL LAVANT LA ROCHE POSAY","7791118",5.4736843,0.09473684,0,0,0.6315789,5.842105,9.366205
"Bennie serum aumentador y reafirmante de lolas","7791141",3.5,0,0,0,0.27272728,1.0909091,9.557851
"Sentida Botanica agua de azahar regenera e hidrata","736684284695",0.033333335,0,0,0,0,1,9.655556
"WiccaBotanics Enebro - Aceite Corporal purificante","7791164",0,0,0,0,0,0,10
"TALCO REXONA EFFICIENT P/PIES","7791293036168",7.5,0,0.8888889,0,2.7777777,5.888889,8.1049385
"Ekos Pitanga Natura Pulpa hidratante para manos","7899846091944",10.365386,0.48461542,0.53846157,1.2307693,9.5,7.384615,8.865236
"Atrix Intensive crema para manos","4005800137570",4.4318185,0.040909093,0.6363636,0.6363636,3.2272727,4.7727275,9.375207
"Cetaphil Crema para manos","91",3.2666667,0,0.26666668,0,1.4666667,1.4666667,9.568889
"TALCO REXONA EFFICIENT ANTIBACTERIAL PARA PES 100G","7791293035901",7.5,0,0.8888889,0,2.7777777,5.888889,8.1049385
"The Body Shop Creme para as mãos Flores de Lolita","2021",2.9066668,0.4466667,0.53333336,0.4,6,1.2666667,9.229777
"The Chemist Look CREMA PARA MANOS","256",1.7333335,0.020000001,0.73333335,0.2,3.5333335,0.6,9.545333
"Oma Gertrude Crema Pies Cuidado Intenso","4743318183053",1.8000002,0,0,0,1.611111,3.7777777,9.600617
"Crema para pies hidratante Café Mimi","4627090994116",4.3666673,0,0,0,1.7333333,3.4,9.366667
"Crema natural refrescante anti-fatiga para pies Organic Kitchen","4743318183183",2.983333,0,0,0,2.6249998,4.0416665,9.597917
"Crema de pies basis sensitive, con aceite de macadamia y arcilla Lavera","4021457614516",5.204546,0.122727275,0,0,3.090909,2.7272727,9.493388
"Polvo Absorbente Pies Gamarde","3760141874553",1.5555556,0.26666668,0,0,0.6666667,0.11111111,9.711111
"Crema manos bio Goji Oliva Sante","4025089073161",3.8541667,0,0,0,1.2083333,2.5416667,9.68316
"Crema de Manos sin Perfume Urtekram","5765228835883",0.6,0,0,0,1.4000001,0.8,9.8133335
"Crema de Manos Echinacea EcoCosmetics","4033981702034",2.8666668,0,0,0,0.6,4.0666666,9.497778
"Crema de manos abedul nórdico Urtekram","5765228147658",6.590909,0,0,0,2.5454545,3.3181818,9.433885
"Algabo Quitaesmalte Humectante","7791274005312",2,0.2,0,0.8,0.8,0.8,9.08
"Veritas protección eficiente - polvo pédico","7791520009767",6.625,0,1,0,1.75,6.875,7.96875
"Veritas suavidad delicada - desodorante el polvo","7791520009736",5.5714283,0,1,0,1.8571429,5.8571434,7.9591837
"Veritas protección fresca - desodorante en polvo","7791520009705",13.785715,0,1,0,3.2142856,7.857143,8.153061
"Rexona Efficient Sport - desodorante p/pies en aerosol","7791293037363",10.033334,1.4,0.8666667,0,4.7333336,10.733334,8.148889
"Dove Crema de Manos Cuida y Protege","465",7.8055553,0.22222224,0,0,0.33333334,6.888889,9.152778
"Coony Foot Peeling Pack","7799021050967",4.5689654,0.09310345,0,0,1.0689656,4.310344,9.653746
"Creme para Mãos Natural e Orgânico Maciez - AhoAloe","789502",2.9842103,0,0,0,2.2105265,1.5263158,9.64626
"Dermaglós Crema Suavizante para manos","779651",8.522727,0.3318182,5.090909,5.8181815,10.454545,2.7727275,8.500413
"AloeVida crema nutritiva para manos","7503013962370",4.0526314,0,0,0,3.631579,3.7368422,9.398891
"Algobo Espuma de baño Mi Villano Favorito 3","7791274005265",12.166667,0.6333334,0.9333334,1.0666667,4.866667,7,8.222222
"OFF Family","789465079423",7.34375,0,0,1.25,6,2.5,8.931641
"Just spray insect","7791015",6.318182,0,0,0,1.8181819,3.4545455,8.946281
"Agua calma repelente de insectos","7791016",2.9166667,0,0,0,2.5833335,0.16666667,9.527778
"Johnson off extra duración","7791017",2.25,0.7,0,0,0,6.833333,8.369445
"CARREFOUR spray repelente para insectos","7791018",15.333334,0.025,2,0,5.8333335,4.6666665,7.6784725
"OFF extra duración crema repelente de insectos","7791019",3.65,0,0,0.4,4.8,3.4,8.775
"Livopen Repelente En Aerosol","7791290792357",4.4375,0.825,0,0,0,8.625,8.264063
"Fuyí repelente en aerosol","7791021",4,0,0,0,0,3.6666667,7.4444447
"Off protección invisible aerosol","7791022",2.25,0,0,0,0,2,7.875
"Las rishis repelente de insectos","7791023",1.5,0,0,0,1.2,0.8,9.3
"Sentida botánica mini spray aire libre","7791029",9.166667,0,0,0,1.8333334,0,8.166667
"DUGA ACEITE CORPORAL PARA BEBES","7791048",1,0,0,0,1,0,9
"Tierra Pura Crema Santa de Caléndula y Lavanda","7791156",0,0,0,0,0,3.5,9.125
"DUGA COLONIA INFANTIL VEGANA","7791161",5,0,0,0,0,1.5,8.916667
"Weleda Baño de Crema de Caléndula","84705",3.3181818,0,0,0,0.54545456,2.7272727,9.400826
"Weleda Champú y Gel de Ducha de Caléndula","84706",2.1785715,0,0,0,0.42857146,2.642857,9.625
"Weleda Champú y Gel 2 en 1 de Menta","84708",5,0,0,0,0.75,4.5625,9.355469
"Weleda Champú y Gel 2 en 1 Kids Naranja Frutal","84709",3.59375,0,0,0,1.125,3.625,9.478516
"Urtekram Champú y Gel baby sin Perfume","84710",3.4444444,0,0,0,0.5555556,1.4444445,9.3950615
"Cattier Champú y gel de baño bebés","84711",4.136364,0,0,0,0.54545456,3.9090908,9.219008
"Duga shampoo baby cabello y cuerpo","7791047",4,0,0,0,0,1.5333333,9.077778
"Acondicionado Duga Niños","7791157",1.5,0,0,0,0.875,2.2875,9.417188
"Duga shampoo Niños","7791154",6.0714283,0,0,0,0,3.1714287,8.679592
"Cuidado integral vegano Shampoo líquido y Gel de ducha - Niños De 1 a 8 años","7791159",0.02857143,0,0,0,0,0.42857146,9.934694
"Cuidado Integral vegano jabon artesanal lavanda","7791160",0.90000004,0,0,0,0,1.2,9.58
"ACONDICIONADOR PANTENE 3MIN FUERZA RECONSTRUCCION","7500435116718",9.470589,0.17058824,0,0,5.294118,6,8.768512
"Acondicionador Tresemmé Blindaje Platinum","7791293033969",15.931819,0.56363636,1.1818181,1.9090909,9.772727,6,8.392769
"PANTENE Acondicionador Pro-V Hidratacion Extrema","7500435013796",9.470589,0.17058824,0,0,5.1764708,6.0588236,8.771973
"ACOND PANTENE HIDRATACION MAX","750043501232",10.653846,0.2,0,0,8.307693,5,8.14142
"Acondicionador PANTENE 3MIN HIDRATACION EXTREMA","7500435106412",9.470589,0.17058824,0,0,5.294118,6,8.768512
"Tí­o Nacho Acondicionador Anti-Edad Jalea Real","650240024689",8.974999,0.040000003,0,1.6,2.1,4.3500004,9.1467495
"ACONDICIONADOR DOVE FUERZ HIDRA","7891150023420",9.78125,0.33125,0.9375,0,10.875,5.25,8.301562
"ELVIVE ACONDICIONADOR REPARACIÓN RÁPIDA","7898587761987",9.325,0,0,0,5.549999,4.5,9.03125
"Fructis Pure Fresh Agua de Coco Acondicionador Pure Fresh Agua de Coco","3600542256742",11.392858,0.11785715,0,0,5.285714,5.535714,9.202423
"Condicionador De Morango","2022",5.714286,0.2,0,0.14285715,3.9285712,3.7142856,9.021429
"EcoHair REPARADOR CAPILAR - BALSAMO ACONDICIONADOR","308",3.5454545,0.05454546,0.72727275,0.54545456,6.2727275,0.45454547,8.945455
"L'Oreal Elvive Total Repairs Acondicionador","3600521707128",9.769231,0,0.5,0,7.3461537,3.846154,9.174556
"Acondicionador Herbal Essences Pelo suave e hidratado hidradisíaco","7501065904522",13.176471,0.12352943,0,0.11764706,7.411765,7,8.362976
"Pantene Pro-V 3 Minute Miracle Acondicionador Restauración","7500435106382",9.40625,0.18125,0,0,5.3125,5.875,8.701563
"Naturalis Acondicionador de Palta","NOREG1",2,0,0,0,0,0,9
"Naturalis Acondicionador de Cacao","NOREG3",0,0,0,0,0,0,10
"Sedal Bomba Coco Acondicionador","779561",7.1818185,0.22727275,0.8181818,0,8.363636,3.909091,8.136364
"Sedal Bomba Argán Acondicionador","779562",10.125,0.80625004,0.875,1.4375,12.125,4.3125,8.144922
"Sedal Ceramidas Acondicionador","779563",10.368421,0.41052634,1.4210527,0.94736844,9.263158,5.947368,8.507479
"Sedal Carbón Activado + Peonias Acondicionador","779564",8.421053,0.24210525,0.8947368,0,9.368421,5.1578946,8.73241
"Sedal Colágeno + Vitamina C Acondicionador","779565",8.305555,0.21666668,0.8888889,0,9.333333,5.35,8.66142
"Sedal Ácido Hialurónico + Vitamina A Acondicionador","779566",11.34375,0.375,0.875,0,10.875,4,8.283203
"Sedal Bomba de Nutrición Acondicionador","779567",8.000001,0.62000006,0.8666667,1.1333333,10.533334,3.3333335,8.367556
"Sedal Liso Perfecto Acondicionador","779568",10.368421,0.41052634,1.4210527,0.94736844,9.263158,5.947368,8.507479
"Sedal Restauración Instantánea","779569",10.368421,0.41052634,1.4210527,0.94736844,9.263158,5.947368,8.507479
"Pantene Micelar Purifica e Hidrata Acondicionador","780570",8.178572,0.18571429,0,0,5.785715,6.285714,8.540306
"Sedal Crema Balance Acondicionador","7791293030654",10.368421,0.41052634,1.4210527,0.94736844,9.263158,5.947368,8.507479
"Issue Professional Acondicionador","7793008007135",6,0,0,2.25,4,3.375,8.046875
"Botanika Acondicionador Cabello normal a seco- Caléndula,palta e hibiscos","7798121272361",5.857143,0.30714285,0,0,7.785714,2.357143,8.835204
"Veganis nutri- boot sublime aconicionador","7798216220246",4.111111,0,0,0,3.3333335,2.6666667,8.876543
"Skala Genetiqs Hidratante para el cabello","7897042016907",5.1153846,0.030769233,0,0,4.3076925,3.1538463,9.030177
"Frenzzi NATURALE acondicionador cebolla y ginseng","7795513030308",11.764706,0,0,0,7,3.882353,8.66782
"SKALA Jaborandi y camelia hidratante","7897042004966",8.166667,0.23333335,0,0,6,3.5333335,8.804444
"Frenzzi Naturale Acondicionador de Almendras","779666",6.136364,0,0,0,3.7272727,2.8181818,8.847107
"Bufala acondicionador Sólido","779778",0,0,0,0,0.8333333,0,9.861111
"Shiri acondicionador sólido","779845",0,0,0,0,0,0,10
"Luno acondicionador sólido","779848",0,0,0,0,0,0,10
